id,title,authors,description,categories,average_rating,ratings_count,published_date,page_count,thumbnail,language,source_query
u_HYCwAAQBAJ,Self's Deception,Bernhard Schlink,"Gerhard Self, the dour private detective, returns in this riveting crime novel about terrorism, governmental cover-up, and the treacherous waters where they mix. Leo Salger, the daughter of a powerful Bonn bureaucrat, is missing, and Self has been hired to find her. His investigation initially leads him to a psych ward at a local hospital, where he is made to believe that Leo fell from a window and died. Self soon discovers, however, that Leo is alive and well and that she was involved in a terrorist incident the government is feverishly trying to keep under wraps. The result is a wildly entertaining, superbly nuanced thriller that follows one detective’s desire to uncover the truth, wherever it may lead.",Fiction,,0,2007-06-12,354,http://books.google.com/books/content?id=u_HYCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:fiction
D86zAwAAQBAJ,The Happy Prince and Other Stories,Oscar Wilde,"The Happy Prince and Other Stories is a collection of stories for children by Oscar Wilde. It contains five stories, ""The Happy Prince"", ""The Nightingale and the Rose"", ""The Selfish Giant"", ""The Devoted Friend"", and ""The Remarkable Rocket"". It is most famous for its title story, ""The Happy Prince"". In a town where a lot of poor people suffer, a swallow who was left behind after his flock flew off to Egypt for the winter meets the statue of the late ""Happy Prince"", who in reality has never experienced true happiness. Viewing various scenes of people suffering in poverty from his tall monument, the Happy Prince asks the swallow to take the ruby from his hilt, the sapphires from his eyes, and the golden leaf covering his body to give to the poor. As the winter comes and the Happy Prince is stripped of all of his beauty, his lead heart breaks when the swallow dies as a result of his selfless deeds. The statue is then torn down and melted leaving behind the broken heart and the dead swallow. These are taken up to heaven by an angel that has deemed them the two most precious things in the city by God, so they may live forever in his city of gold and garden of paradise.",Fiction,,0,2019-06-28,105,http://books.google.com/books/content?id=D86zAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:fiction
e-wZ0QEACAAJ,The Damned (La Bas),Joris-Karl Huysmans,"Joris-Karl Huysmans' shocking novel of an innocent's descent into a world of depraved, blasphemous rituals Durtal, a shy, censorious man, is writing a biography of Gilles de Rais, the monstrous fifteenth-century child-murderer thought to be the original for 'Bluebeard'. Bored and disgusted by the vulgarity of everyday life, Durtal seeks spiritual solace by immersing himself in another age. But when he starts asking questions about Gilles's involvement in satanic rituals and is introduced to the exquisitely evil madame Chantelouve, he is soon drawn into a twilight world of black magic and erotic devilry in fin-de- siècle Paris. Published in 1891, The Damned cemented Huysmans's reputation as a writer at the forefront of the avant-garde and as one of the most challenging and innovative figures in European literature. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",Fiction,,0,2002-01-29,0,,en,subject:fiction
25CpPwAACAAJ,The Fountainhead,Ayn Rand,"The story of a gifted architect, his struggle against conventional standards, and his violent love affair.",Architects,,0,1952,704,http://books.google.com/books/content?id=25CpPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:fiction
wjeeAwAAQBAJ,The Manitou,Graham Masterton,"An ancient vengeful spirit attempts to return through the body of a terrified young woman in this horror classic by an award-winning ""master of the genre"" ( Rocky Mountain News). Phony psychic and conman Harry Erskine never really believed in the occult until Karen Tandy approached him with a rapidly growing tumor on her neck, complaining of dark and disturbing dreams. When the mass is revealed by doctors to contain something living, the stakes skyrocket—not only for Karen and Harry but for all humanity. Something terrible is returning from the shadows to which it has been confined for centuries—a Native American monstrosity determined to destroy every vestige of the white race that oppressed and preyed upon America's Indians. And unless a motley group of ill-prepared defenders can harness an ancient native magic, there will be no stopping the malevolent shaman's terrible rebirth—and no escaping the wholesale carnage it will engender. The Manitou introduced the great Graham Masterton to the canon of horror, instantly placing him among the genre's elite. A longtime favorite for its bold originality, unrelenting creepiness, supernatural shocks, and otherworldly surprises that would have made H. P. Lovecraft proud, Masterton's classic continues to stand tall alongside Stephen King's Carrie, Peter Straub's Ghost Story, and other unforgettable literary horror debuts.",Fiction,5,1,2014-05-27,199,http://books.google.com/books/content?id=wjeeAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:fiction
NTwfzgEACAAJ,The Tragedy of King Lear,William Shakespeare,"King Lear is a tragedy written by William Shakespeare. It tells the tale of a king who bequeaths his power and land to two of his three daughters, after they declare their love for him in a fawning and obsequious manner. His third daughter gets nothing, because she will not flatter him as her sisters had done. When he feels he has been treated with disrespect by the two daughters who now have his wealth and power, he becomes furious to the point of madness. He eventually becomes tenderly reconciled to his third daughter, just before tragedy strikes her and then the king.",,,0,2020-12-22,124,http://books.google.com/books/content?id=NTwfzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:fiction
IZX9AQAAQBAJ,Swann's Way,Marcel Proust,The narrator interrupts reminiscences about his childhood spent in late-nineteenth-century France to recall the affair which a friend of the family carried on with young Odette de Crecy.,Fiction,,0,2013-11-14,506,http://books.google.com/books/content?id=IZX9AQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:fiction
-X7-zQEACAAJ,The Blue Castle-(Annotated),Lucy Maud Montgomery,"The Blue Castle is a 1926 novel by Canadian author Lucy Maud Montgomery, best known for her novel Anne of Green Gables. The story takes place prior to World War I in the fictional town of Deerwood, located in the Muskoka region of Ontario, Canada. Deerwood is based on Bala, Ontario, which Montgomery visited in 1922.",,,0,2020-10-11,258,http://books.google.com/books/content?id=-X7-zQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:fiction
3iY6PgAACAAJ,Peter Camenzind,Hermann Hesse,"In his first successful novel, Hermann Hesse relates the story of Peter Camenzind, from his childhood in a remote mountain village to student life in Zurich.",German fiction,,0,1989-09-05,138,http://books.google.com/books/content?id=3iY6PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:fiction
xIU9d6W3vEkC,The Philosophy of Science Fiction Film,Steven Sanders,"The science fiction genre maintains a remarkable hold on the imagination and enthusiasm of the filmgoing public, captivating large audiences worldwide and garnering ever-larger profits. Science fiction films entertain the possibility of time travel and extraterrestrial visitation and imaginatively transport us to worlds transformed by modern science and technology. They also provide a medium through which questions about personal identity, moral agency, artificial consciousness, and other categories of experience can be addressed. In The Philosophy of Science Fiction Film, distinguished authors explore the storylines, conflicts, and themes of fifteen science fiction film classics, from Metropolis to The Matrix. Editor Steven M. Sanders and a group of outstanding scholars in philosophy, film studies, and other fields raise science fiction film criticism to a new level by penetrating the surface of the films to expose the underlying philosophical arguments, ethical perspectives, and metaphysical views. Sanders's introduction presents an overview and evaluation of each essay and poses questions for readers to consider as they think about the films under discussion.The first section, ""Enigmas of Identity and Agency,"" deals with the nature of humanity as it is portrayed in Blade Runner, Dark City, Frankenstein, Invasion of the Body Snatchers, and Total Recall. In the second section, ""Extraterrestrial Visitation, Time Travel, and Artificial Intelligence,"" contributors discuss 2001: A Space Odyssey, The Terminator, 12 Monkeys, and The Day the Earth Stood Still and analyze the challenges of artificial intelligence, the paradoxes of time travel, and the ethics of war. The final section, ""Brave Newer World: Science Fiction Futurism,"" looks at visions of the future in Metropolis, The Matrix, Alphaville, and screen adaptations of George Orwell's 1984.",Performing Arts,4,2,2007-12-14,241,http://books.google.com/books/content?id=xIU9d6W3vEkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:science fiction
uefwmdROKTAC,Science Fact and Science Fiction,Brian M. Stableford,Publisher description,Fiction,5,1,2006,758,http://books.google.com/books/content?id=uefwmdROKTAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:science fiction
BtdB2CcXazEC,Why We Read Fiction,Lisa Zunshine,"Why We Read Fiction offers a lucid overview of the most exciting area of research in contemporary cognitive psychology known as ""Theory of Mind"" and discusses its implications for literary studies. It covers a broad range of fictional narratives, from Richardson s Clarissa, Dostoyevski's Crime and Punishment, and Austen s Pride and Prejudice to Woolf's Mrs. Dalloway, Nabokov's Lolita, and Hammett s The Maltese Falcon. Zunshine's surprising new interpretations of well-known literary texts and popular cultural representations constantly prod her readers to rethink their own interest in fictional narrative. Written for a general audience, this study provides a jargon-free introduction to the rapidly growing interdisciplinary field known as cognitive approaches to literature and culture.",Literary Criticism,3,1,2006,210,http://books.google.com/books/content?id=BtdB2CcXazEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:science fiction
sbv3E9-vueUC,Science Fiction Prototyping,Brian David Johnson,"Science fiction is the playground of the imagination. If you are interested in science or fascinated with the future then science fiction is where you explore new ideas and let your dreams and nightmares duke it out on the safety of the page or screen. But what if we could use science fiction to do more than that? What if we could use science fiction based on science fact to not only imagine our future but develop new technologies and products? What if we could use stories, movies and comics as a kind of tool to explore the real world implications and uses of future technologies today? Science Fiction Prototyping is a practical guide to using fiction as a way to imagine our future in a whole new way. Filled with history, real world examples and conversations with experts like best selling science fiction author Cory Doctorow, senior editor at Dark Horse Comics Chris Warner and Hollywood science expert Sidney Perkowitz, Science Fiction Prototyping will give you the tools you need to begin designing the future with science fiction. The future is Brian David Johnson's business. As a futurist at Intel Corporation, his charter is to develop an actionable vision for computing in 2021. His work is called ""future casting""-using ethnographic field studies, technology research, trend data, and even science fiction to create a pragmatic vision of consumers and computing. Johnson has been pioneering development in artificial intelligence, robotics, and reinventing TV. He speaks and writes extensively about future technologies in articles and scientific papers as well as science fiction short stories and novels (Fake Plastic Love and Screen Future: The Future of Entertainment, Computing and the Devices We Love). He has directed two feature films and is an illustrator and commissioned painter. Table of Contents: Preface / Foreword / Epilogue / Dedication / Acknowledgments / 1. The Future Is in Your Hands / 2. Religious Robots and Runaway Were-Tigers: A Brief Overview of the Science and the Fiction that Went Into Two SF Prototypes / 3. How to Build Your Own SF Prototype in Five Steps or Less / 4. I, Robot: From Asimov to Doctorow: Exploring Short Fiction as an SF Prototype and a Conversation With Cory Doctorow / 5. The Men in the Moon: Exploring Movies as an SF Prototype and a Conversation with Sidney Perkowitz / 6. Science in the Gutters: Exploring Comics as an SF Prototype and a Conversation With Chris Warner / 7. Making the Future: Now that You Have Developed Your SF Prototype, What's Next? / 8. Einstein's Thought Experiments and Asimov's Second Dream / Appendix A: The SF Prototypes / Notes / Author Biography",Computers,,0,2011,191,http://books.google.com/books/content?id=sbv3E9-vueUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:science fiction
O72EoPJN4mUC,Science Fiction,Isaac Asimov|Greg Walz-Chojnacki|Francis Reddy,This book compares science fiction with science fact.,Juvenile Nonfiction,,0,1995,38,http://books.google.com/books/content?id=O72EoPJN4mUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:science fiction
opEUAQAAIAAJ,Fiction in American Magazines Before 1800,Edward W. R. Pitcher,"An easy-to-use identification manual for plants in eastern United States. Identification is through keys in which the matching of plant characteristics leads to family, genus, species and common name. The book also lists flowering dates, habitat and degree of rarity.",Language Arts & Disciplines,,0,1993,344,http://books.google.com/books/content?id=opEUAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:science fiction
AzFaAAAAMAAJ,The Supernatural and English Fiction,Glen Cavaliero,"This book is the first ever to describe and discuss all the principal English writers who have handled the subject of the supernatural. Among those included in Glen Cavaliero's absorbing study are James Hogg, Sheridan Le Fanu, Henry James, Rudyard Kipling, Walter de la Mare, M. R. James, John Cowper Powys, William Golding, Iris Murdoch, and Muriel Spark. As well as analysing the senses in which the supernatural may be understood, he relates them to different kinds of fiction, such as the Gothic novel, the occultist romance, the ghost story, novels of paranormal psychology, nature mysticism, and late twentieth-century uses of allegory and fable. He examines the impact of supernaturalist themes upon naturalistic writers, and discusses the relevance of the supernatural to the question of the truthfulness of fiction, and to contemporary literary theory and its ideological accompaniments.",History,,0,1995,296,http://books.google.com/books/content?id=AzFaAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:science fiction
SZ1iE5WfIOIC,Content-Based Chapter Books Fiction (Science: Planet Patrol): Antarctic Adventure,Rebecca L. Johnson,"""Four students travel to dry, icy Antarctica to study the AdeÌ1lie penguins. They use all they have learned to make an important rescue by themselves""--Publisher's website",Language Arts & Disciplines,,0,2007-03-11,68,http://books.google.com/books/content?id=SZ1iE5WfIOIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:science fiction
UbULAQAAMAAJ,Music in Contemporary British Fiction,Gerry Smyth,Movie Watchers Guide to Enlightenment describes helpful movies in healing and Awakening to Truth.,Fiction,,0,2008-11-20,264,http://books.google.com/books/content?id=UbULAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:science fiction
46gfAQAAIAAJ,The Country of the Pointed Firs and Other Fiction,Sarah Orne Jewett,"This volume includes Jewett's classic novella and 13 of her short stories, written towards the end of her career. The introduction, a pharmacopoeia, and extensive explanatory notes suggest a variety of ways to explore Jewett's subtle fiction.",Fiction,,0,1996,404,http://books.google.com/books/content?id=46gfAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:science fiction
6iVFAAAAYAAJ,"Space, Cosmology and Fiction",Joan Solomon,"""Space, Cosmology and Fiction begins with the confrontation between Galileo and the Church. It then follows some of the scientific discoveries which led to modern cosmology, to the excitement of science fiction, and to the present possibilities of space technology""--Page 4 of cover.",Literary Criticism,,0,1983,56,http://books.google.com/books/content?id=6iVFAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:science fiction
BiNfAAAAMAAJ,History and Fiction in Galdós's Narratives,Geoffrey Ribbans,"Galdos wrote prolifically in two distinct narrative modes: some twenty major 'contemporary novels' in the realist tradition and a special sort of historical novel he called the episodio nacional. The reign of Isabella II (1843-68) and the revolutionary period which followed until 1875 was a time of exceptional volatility in Spain, and Geoffrey Ribbans's comprehensive study shows how each of Galdos's two narrative modes adopts a particular technique in its treatment of Spanish history and politics. The episodio is tightly bound to historical events and timescale, though it skilfully incorporates its fictional characters into this framework; the novel on the other hand is embedded in historical reality in a constant but less systematic manner.",Literary Criticism,,0,1993,336,http://books.google.com/books/content?id=BiNfAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:science fiction
c8EU07habLEC,Stranger Than Fiction,Melvin Berger,"This account explores the world of killer bees, fire ants, & other such bugs.",Juvenile Nonfiction,,0,1990,100,http://books.google.com/books/content?id=c8EU07habLEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:science fiction
_FbgAAAAMAAJ,Science & Technology in Fact and Fiction,DayAnn M. Kennedy|Stella S. Spangler|Mary Ann Vanderwerf,"Grade level: 8, 9, 10, 11, 12, i, s.",Literary Criticism,,0,1990,392,http://books.google.com/books/content?id=_FbgAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:science fiction
NM5PqgKd2dsC,The Plague of Fantasies,Slavoj Žižek,"Slavoj Zizek is, without doubt, one of the most stimulating and vibrant thinkers of our time, and his idiosyncratic blend of Lacan and Hegel is always sparkling with insight and studded with amusing stories, anecdotes and jokes. In The Plague of Fantasies Zizek approaches another enormous subject with characteristic brio and provocativeness. The current epoch is plagued by fantasms: there is an ever intensifying antagonism between the process of ever greater abstraction of our lives—whether in the form of digitalization or market relations—and the deluge of pseudo-concrete images which surround us. Traditional critical thought would have sought to trace the roots of abstract notions in concrete social reality; but today, the correct procedure is the inverse—from pseudo-concrete imagery to the abstract process which structures our lives. Ranging in his examples from national differences in toilet design to cybersex, and from intellectuals' responses to the Bosnian war to Robert Schumann's music, Zizek explores the relations between fantasy and ideology, the way in which fantasy animates enjoy-ment while protecting against its excesses, the associations of the notion of fetishism with fantasized seduction, and the ways in which digitalization and cyberspace affect the status of subjectivity. To the already initiated, The Plague of Fantasies will be a welcome reminder of why they enjoy Zizek's writing so much. For new readers, it will be the beginning of a long and meaningful relationship.",Computers,3.5,2,1997,262,http://books.google.com/books/content?id=NM5PqgKd2dsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:fantasy
FD72ekYZqIkC,A Wizard of Earthsea,Ursula K. Le Guin,A boy grows to manhood while attempting to subdue the evil he unleashed on the world as an apprentice to the Master Wizard.,Juvenile Fiction,,0,2012,267,http://books.google.com/books/content?id=FD72ekYZqIkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:fantasy
hRd7dJ-9G1IC,The Wizard of Oz,Lyman Frank Baum,".0000000000This is the story of Dorothy and her little dog Toto, who are carried away from Kansas by a cyclone and transported to the wonderful world of Oz. She meets three companions - the Scarecrow, the Tin Woodman and the Cowardly Lion - and the three journey to the Emerald City of Oz to ask the Wizard of Oz to give them their hearts' desires, which in Dorothy's case is to return home to Kansas. On their way to Oz and while fulfilling the tasks that the surprising Wizard asks of them they encounter witches, winged monkeys, the Deadly Desert, fighting trees and magic shoes.This edition is evocatively illustrated with the original drawings of W. W. Denslow, with an Afterword by Ned Halley.",Fiction,5,1,2009,188,http://books.google.com/books/content?id=hRd7dJ-9G1IC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:fantasy
WdM_qxJq8T8C,Peter Pan,James Matthew Barrie,"The adventures of the three darling children in Never-Never Land with Peter Pan, the boy who would not grow up.",Fiction,,0,2008,164,http://books.google.com/books/content?id=WdM_qxJq8T8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:fantasy
d0lWqpVm9YkC,A Crown of Swords,Robert Jordan,Fantasy-roman.,Fiction,4.5,19,1997-11-15,903,http://books.google.com/books/content?id=d0lWqpVm9YkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:fantasy
LA1jAwAAQBAJ,Tales from Moominvalley,Tove Jansson,9 stories about the Moomins and their friends. Grades 4-6.,Juvenile Fiction,,0,2010-08-31,191,http://books.google.com/books/content?id=LA1jAwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:fantasy
FaQrAAAAYAAJ,His Majesty's Dragon,Naomi Novik,Fantasy-roman.,Fiction,,0,2006,396,http://books.google.com/books/content?id=FaQrAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:fantasy
0CTTpPKGvTsC,New Spring,Robert Jordan,"From America's premier fantasy writer---#1 New York Times and USA Today bestselling author of Crossroads of Twilight---comes an expanded version of his novella ""New Spring,"" first published in the Legends collection. For three days battle has raged in the snow around the great city of Tar Valon. In the city, a Foretelling of the future is uttered. On the slopes of Dragonmount, the immense mountain that looms over the city, is born an infant prophesied to change the world. That child must be found before the forces of the Shadow have an opportunity to kill him. Moiraine Damodred, a young Accepted soon to be raised to Aes Sedai, and Lan Mandragoran, a soldier fighting in the battle, are set on paths that will bind their lives together. But those paths are filled with complications and dangers, for Moiraine, of the Royal House of Cairhien, whose king has just died, and Lan, considered the uncrowned king of a nation long dead, find their lives threatened by the plots of those seeking power. ""New Spring"" related some of these events, in compressed form; New Spring: The Novel tells the whole story.",Fiction,4.5,9,2004,352,http://books.google.com/books/content?id=0CTTpPKGvTsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:fantasy
l4RcviG2DbgC,Castle of Wizardry,David Eddings,Garion regains the Orb and struggles to escape from the brutal Murgo soldiers and the deadly magic spells of Grolim Hierachs,Fiction,,0,1984,388,http://books.google.com/books/content?id=l4RcviG2DbgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:fantasy
